state_name,department_name,service_name,transaction_date,transaction_count,latency_days
Puducherry,Revenue,Ration Subsidies,2025-11-01,12658,3.0
Karnataka,Identity,Vehicle Registration (Vahan),2025-11-08,13062,3.0
Delhi,Transport,Driving License (Sarathi),2025-08-23,12570,9.0
Maharashtra,Transport,Vehicle Registration (Vahan),2025-12-13,13763,12.8
Maharashtra,Revenue,Ration Subsidies,2025-07-30,12698,8.0
Puducherry,Transport,Driving License (Sarathi),2025-09-21,12982,5.3
Maharashtra,Identity,Driving License (Sarathi),2025-09-21,12533,3.8
Delhi,PDS,DigiLocker Pull,2025-10-30,13066,8.3
Delhi,General Administration,Caste Certificate,2025-09-14,13053,5.1
Maharashtra,General Administration,Caste Certificate,2025-12-09,13625,3.8
Odisha,Identity,Ration Subsidies,2025-08-04,12499,1.5
Uttarakhand,Transport,Driving License (Sarathi),2025-09-12,12742,1.1
Odisha,Revenue,Vehicle Registration (Vahan),2025-07-12,14544,17.5
Maharashtra,Identity,Caste Certificate,2025-10-04,16042,7.4
Karnataka,PDS,Caste Certificate,2025-09-24,12422,5.5
Karnataka,PDS,Vehicle Registration (Vahan),2025-08-30,12532,5.8
Delhi,Transport,DigiLocker Pull,2025-11-05,12560,1.6
Maharashtra,General Administration,Caste Certificate,2025-12-31,14445,2.6
Puducherry,PDS,Driving License (Sarathi),2025-11-16,12812,5.4
Maharashtra,PDS,Caste Certificate,2025-11-21,13279,1.2
Odisha,Revenue,Ration Subsidies,2025-11-24,12309,3.0
Karnataka,Revenue,Vehicle Registration (Vahan),2025-07-05,12455,8.9
Maharashtra,PDS,Vehicle Registration (Vahan),2025-08-16,13905,4.8
Maharashtra,Transport,Driving License (Sarathi),2025-07-09,13471,0.2
Odisha,Revenue,Caste Certificate,2025-11-30,13249,10.2
Maharashtra,PDS,Vehicle Registration (Vahan),2025-07-17,12751,0.2
Delhi,Identity,Driving License (Sarathi),2025-10-28,12915,13.8
Maharashtra,Transport,DigiLocker Pull,2025-08-31,12721,17.3
Uttarakhand,Revenue,Ration Subsidies,2025-12-19,12322,11.3
Delhi,Identity,Ration Subsidies,2025-11-01,12379,8.4
Odisha,Revenue,Caste Certificate,2025-10-10,12398,1.3
Maharashtra,General Administration,Vehicle Registration (Vahan),2025-08-23,13664,2.0
Maharashtra,Identity,Caste Certificate,2025-09-21,12555,4.8
Maharashtra,Revenue,Caste Certificate,2025-07-11,12377,17.5
Odisha,Identity,Ration Subsidies,2025-12-03,12382,9.6
Uttarakhand,PDS,Driving License (Sarathi),2025-08-02,12331,14.4
Delhi,Identity,Driving License (Sarathi),2025-10-27,13224,3.7
