State / UT Region,Department Code,Service Descriptor,Submission Date,Total Recorded Transactions,Reported Latency (Days)
Maharashtra,PDS,Vehicle Registration (Vahan),2025-11-04,2706,37.8
Puducherry,Revenue,Ration Subsidies,2025-07-08,7074,8.0
Karnataka,PDS,Vehicle Registration (Vahan),2025-11-10,4938,10.4
Karnataka,Revenue,Caste Certificate,2025-11-10,5241,0.6
Delhi,PDS,Ration Subsidies,2025-10-05,4983,6.3
Delhi,Revenue,Vehicle Registration (Vahan),2025-12-29,4893,2.3
Odisha,PDS,Ration Subsidies,2025-10-03,5458,1.0
Uttarakhand,PDS,DigiLocker Pull,2025-07-22,1613,3.6
Karnataka,PDS,Vehicle Registration (Vahan),2025-11-03,4397,1.3
Karnataka,Revenue,DigiLocker Pull,2025-10-05,2844,7.8
Odisha,Revenue,Caste Certificate,2025-08-29,3024,2.9
Puducherry,Revenue,Driving License (Sarathi),2025-09-25,3829,0.2
Uttarakhand,Transport,Ration Subsidies,2025-08-04,7080,0.4
Delhi,PDS,Ration Subsidies,2025-07-14,4123,1.4
Delhi,Revenue,Ration Subsidies,2025-10-16,6344,0.6
Delhi,Identity,Caste Certificate,2025-10-24,6178,12.3
NCT of Delhi,Identity,Caste Certificate,2025-10-19,5992,12.7
Maharashtra,Transport,Vehicle Registration (Vahan),2025-10-12,3122,16.8
Maharashtra,PDS,Vehicle Registration (Vahan),2025-08-27,4389,4.3
Delhi,PDS,Caste Certificate,2025-09-27,5901,9.1
Karnataka,General Administration,Ration Subsidies,2025-08-26,4453,2.4
Orissa,Identity,Driving License (Sarathi),2025-12-08,4769,3.0
Delhi,Identity,Caste Certificate,2025-10-29,5141,11.7
Maharashtra,PDS,Caste Certificate,2025-07-01,3481,1.7
Maharashtra,Revenue,Ration Subsidies,2025-10-14,3567,2.7
Uttarakhand,General Administration,Caste Certificate,2025-11-21,4094,2.1
Delhi,Revenue,Caste Certificate,2025-12-23,9385,0.1
Maharashtra,Revenue,Vehicle Registration (Vahan),2025-09-15,5956,0.6
Karnataka,PDS,Ration Subsidies,2025-07-06,2043,0.3
Odisha,Transport,Vehicle Registration (Vahan),2025-10-21,3985,5.6
Karnataka,PDS,Driving License (Sarathi),2025-09-12,6278,1.6
Delhi,Revenue,Vehicle Registration (Vahan),2025-10-04,2933,0.8
Odisha,PDS,DigiLocker Pull,2025-09-17,6170,7.7
Puducherry,PDS,DigiLocker Pull,2025-10-06,4492,8.0
Puducherry,Transport,Ration Subsidies,2025-09-24,5247,8.3
Uttarakhand,General Administration,DigiLocker Pull,2025-12-07,6024,4.4
NCT of Delhi,General Administration,Vehicle Registration (Vahan),2025-12-20,3624,13.7
Odisha,Revenue,DigiLocker Pull,2025-08-30,7559,5.8
Karnataka,General Administration,Vehicle Registration (Vahan),2025-12-24,3518,0.6
Maharashtra,Revenue,Caste Certificate,2025-12-11,5926,4.0
Orissa,Identity,Vehicle Registration (Vahan),2025-07-19,3575,6.1
,Transport,Ration Subsidies,2025-08-06,4498,5.9
Odisha,General Administration,DigiLocker Pull,2025-08-14,6009,2.8
Puducherry,Revenue,Ration Subsidies,2025-11-01,12658,3.0
Delhi,Transport,Vehicle Registration (Vahan),2025-12-02,2963,3.5
